Date,AAPL,BX,CAT,CVX,JNJ,JPM,KO,MSFT,NVDA,PFE,PG,XOM
2016-01-04,23.688671112060547,17.733766555786133,52.891815185546875,56.349918365478516,75.33755493164062,48.18406677246094,30.555973052978516,47.68096923828125,0.7886257767677307,18.728492736816406,58.2310905456543,49.0023193359375
2016-01-05,23.09504508972168,17.237590789794922,52.33948516845703,56.83192443847656,75.65245056152344,48.267372131347656,30.664073944091797,47.89849090576172,0.80129474401474,18.863319396972656,58.4168586730957,49.41984558105469
2016-01-06,22.643091201782227,16.71691131591797,51.51488494873047,54.586814880371094,75.2700424194336,47.57059097290039,30.498321533203125,47.02839279174805,0.7681609392166138,18.529197692871094,57.85215759277344,49.00865173339844
2016-01-07,21.68744468688965,16.159475326538086,49.741188049316406,52.65245819091797,74.39283752441406,45.6468620300293,29.99384880065918,45.39263153076172,0.7377077341079712,18.406097412109375,57.34690475463867,48.22420120239258
2016-01-08,21.802122116088867,15.620417594909668,49.235530853271484,52.088008880615234,73.59805297851562,44.624412536621094,29.91457748413086,45.53184509277344,0.7218717932701111,18.171628952026367,56.447845458984375,47.249977111816406
2016-01-11,22.1551456451416,15.099737167358398,47.81967544555664,51.22547149658203,73.15570068359375,44.5562629699707,29.96503448486328,45.50574493408203,0.7230897545814514,18.212657928466797,56.96794509887695,46.617366790771484
2016-01-12,22.476696014404297,15.418272018432617,47.92081832885742,52.10067367553711,73.65805053710938,44.65471267700195,30.35419464111328,45.923377990722656,0.7352713346481323,18.171628952026367,56.849063873291016,47.57261657714844
2016-01-13,21.89881134033203,14.977222442626953,47.36848831176758,51.58061981201172,72.74331665039062,43.42776870727539,30.159608840942383,44.93147277832031,0.7128575444221497,17.802331924438477,56.35865783691406,47.85730743408203
2016-01-14,22.377756118774414,15.70617389678955,48.4420280456543,54.20628356933594,74.14542388916016,44.079105377197266,30.181224822998047,46.21051788330078,0.6984832882881165,18.23611068725586,56.581565856933594,50.05246353149414
2016-01-15,21.840354919433594,15.044599533081055,47.15812301635742,53.064693450927734,72.72833251953125,43.200565338134766,29.90738296508789,44.36591339111328,0.6604772210121155,18.06025505065918,55.71223068237305,49.0782470703125
2016-01-19,21.73466682434082,14.707694053649902,46.496463775634766,51.69479751586914,73.10320281982422,43.17783737182617,30.210060119628906,43.991783142089844,0.6658370494842529,17.989910125732422,57.01253890991211,48.33174133300781
2016-01-20,21.763898849487305,14.54842758178711,46.32318878173828,50.09021759033203,71.79109954833984,42.04176712036133,29.82090187072754,44.19190216064453,0.6694912314414978,17.972322463989258,56.83489227294922,46.29473876953125
2016-01-21,21.653718948364258,14.799577713012695,47.01633834838867,51.403045654296875,71.93354797363281,41.84485626220703,29.828105926513672,43.92216491699219,0.6772875785827637,17.925426483154297,57.50196075439453,46.876731872558594
2016-01-22,22.80498504638672,16.055339813232422,48.032440185546875,52.98223876953125,72.54086303710938,43.13240051269531,30.310945510864258,45.497039794921875,0.6931236982345581,18.001630783081055,57.98165512084961,48.439308166503906
2016-01-25,22.359769821166992,15.332510948181152,45.61428451538086,51.30156326293945,72.2784652709961,42.155372619628906,30.383018493652344,45.062015533447266,0.6923927664756775,17.878530502319336,57.59939956665039,46.800811767578125
2016-01-26,22.48343849182129,16.104347229003906,46.59886169433594,53.35007858276367,75.86237335205078,43.23085403442383,30.325361251831055,45.39263153076172,0.6992142796516418,17.978185653686523,59.06840133666992,48.52153015136719
2016-01-27,21.006132125854492,15.681670188903809,45.93722152709961,52.82368850708008,76.59717559814453,43.200565338134766,30.332565307617188,44.56604766845703,0.6909306645393372,17.890254974365234,59.06089401245117,47.629547119140625
2016-01-28,21.156784057617188,15.387640953063965,48.111209869384766,54.49168395996094,76.67964935302734,43.382320404052734,30.678485870361328,45.29691696166992,0.6833783388137817,17.702678680419922,59.82542037963867,48.70500183105469
2016-01-29,21.887569427490234,16.09209632873535,49.024925231933594,54.84048080444336,78.30667114257812,45.06369400024414,30.930709838867188,47.93329620361328,0.7135882377624512,17.87267303466797,61.22698974609375,49.24904251098633
2016-02-01,21.682952880859375,16.765918731689453,49.38724136352539,54.09211730957031,78.25418090820312,44.57897186279297,30.988357543945312,47.60265350341797,0.7138317823410034,17.685094833374023,60.79975509643555,48.262168884277344
2016-02-02,21.244474411010742,16.159475326538086,47.788265228271484,51.52354049682617,77.53439331054688,43.19298553466797,30.584802627563477,46.11479568481445,0.6836220622062683,17.667505264282227,60.12522506713867,47.18671417236328
2016-02-03,21.664962768554688,16.214601516723633,49.836219787597656,53.66719055175781,78.08172607421875,43.48078918457031,30.78658676147461,45.38391876220703,0.68703293800354,17.56685447692871,60.7847900390625,49.6475830078125
2016-02-04,21.839046478271484,16.52183723449707,51.9550666809082,53.77500534057617,77.90178680419922,44.23058319091797,30.649660110473633,45.24471664428711,0.6872764825820923,17.170169830322266,60.48499298095703,50.501609802246094
2016-02-05,21.255762100219727,16.59708023071289,52.08110427856445,52.56367111206055,75.38253784179688,43.738285064697266,30.584802627563477,43.64373779296875,0.6439103484153748,17.187925338745117,60.8597412109375,50.65977478027344
2016-02-08,21.47957992553711,15.32424545288086,50.86807632446289,54.536075592041016,76.47722625732422,42.821868896484375,30.73613739013672,42.99116516113281,0.6144315600395203,16.90965461730957,61.92403030395508,51.343013763427734
2016-02-09,21.47504997253418,15.33678150177002,50.356101989746094,52.589019775390625,76.4547348022461,42.56435775756836,31.20456314086914,42.87807083129883,0.6210095286369324,17.229372024536133,61.93899917602539,51.11957550048828
2016-02-10,21.312280654907227,15.361861228942871,48.94614028930664,52.6651496887207,76.27477264404297,42.04935073852539,30.664073944091797,43.252197265625,0.619547426700592,17.46028709411621,61.17452621459961,50.6535758972168
2016-02-11,21.183420181274414,14.43388557434082,48.371150970458984,52.633426666259766,76.25228118896484,40.19378662109375,30.563190460205078,43.23480224609375,0.6163806319236755,17.24713706970215,59.8853759765625,50.81315612792969
2016-02-12,21.248977661132812,15.443371772766113,49.74169921875,54.18090057373047,76.34221649169922,43.54136276245117,31.06764030456543,43.93958282470703,0.6268565058708191,17.383310317993164,60.70234298706055,51.72599792480469
2016-02-16,21.848081588745117,16.283573150634766,51.36429977416992,54.469913482666016,76.7171401977539,44.19270706176758,31.247798919677734,44.7720947265625,0.6575535535812378,17.64974594116211,61.062103271484375,51.84728240966797
2016-02-17,22.18267822265625,16.69740104675293,52.97903823852539,56.717811584472656,76.85211181640625,44.51081466674805,31.341501235961914,45.9376220703125,0.6738766431808472,17.543174743652344,61.796607971191406,52.3452033996582
2016-02-18,21.762170791625977,16.59708023071289,52.08110427856445,55.70306396484375,78.1567153930664,43.783729553222656,31.42797088623047,45.73607635498047,0.7318605184555054,17.49580955505371,61.44435119628906,52.63247299194336
2016-02-19,21.712438583374023,16.220874786376953,51.52972412109375,55.555328369140625,78.66270446777344,43.79129409790039,31.54326820373535,45.41181945800781,0.7416057586669922,17.46028709411621,61.30194091796875,52.66440200805664
2016-02-22,21.90234375,16.72248649597168,53.018428802490234,57.04536056518555,79.10826110839844,44.359336853027344,31.66579246520996,46.139183044433594,0.7679173946380615,17.791839599609375,61.556758880615234,52.59416961669922
2016-02-23,21.407241821289062,16.13936424255371,51.81328582763672,54.53413391113281,78.60227966308594,42.50376892089844,31.485626220703125,44.8509635925293,0.7698665261268616,17.73855972290039,61.316925048828125,51.85367965698242
2016-02-24,21.726001739501953,16.133092880249023,51.892051696777344,54.76536560058594,79.2668685913086,42.518917083740234,31.6441593170166,45.00870132446289,0.775226354598999,17.774085998535156,61.12957000732422,52.038795471191406
2016-02-25,21.875213623046875,15.976337432861328,52.35676956176758,54.78462600708008,80.33924102783203,43.17783737182617,31.824331283569336,45.657188415527344,0.776931643486023,18.11155891418457,61.714149475097656,52.35160827636719
2016-02-26,21.909128189086914,16.057844161987305,52.67185592651367,54.174476623535156,79.88616180419922,43.579246520996094,31.08925437927246,44.95613479614258,0.7718155384063721,17.898420333862305,60.7847900390625,52.18562698364258
